gene_symbol	logFC	P.Value	adj.P.Val	dataset	FDR_lt_0_05
DYNC1I1	1.02600773113248	0.0019603452033181	0.140265812004892	GSE243023	False
HOMER1	1.207520406634	0.0019977191888284	0.140265812004892	GSE243023	False
FAXC	1.14966795064916	0.0020052468013049	0.140265812004892	GSE243023	False
TRAP1	-0.903079695372263	0.0020125448676117	0.140265812004892	GSE243023	False
PTK7	-0.519884312921167	0.0020143069136323	0.140265812004892	GSE243023	False
SDC3	-0.79387152611505	0.0020285639636072	0.140265812004892	GSE243023	False
NAB2	-0.59066449690649	0.0020504745822542	0.140265812004892	GSE243023	False
CHID1	-0.665916147541823	0.0020506008501049	0.140265812004892	GSE243023	False
PTPRB	0.858623686172036	0.0020509911952331	0.140265812004892	GSE243023	False
COLEC10	2.19506692945475	0.0020637303684834	0.140265812004892	GSE243023	False
USF3	0.70332338362785	0.0020743733874617	0.140265812004892	GSE243023	False
ARID2	0.736008586637796	0.0020756102482879	0.140265812004892	GSE243023	False
USP38	0.593727815457673	0.0020875325398924	0.140265812004892	GSE243023	False
NHLRC2	0.662534771953904	0.0021043248118613	0.140265812004892	GSE243023	False
TGM2	-0.599984906257099	0.0021090148482353	0.140265812004892	GSE243023	False
HPS6	-0.834794125674517	0.0021312898520452	0.140265812004892	GSE243023	False
CAPN1	-0.796754744160626	0.0021348568819827	0.140265812004892	GSE243023	False
SAPCD2	-0.960994591822886	0.0021350099064535	0.140265812004892	GSE243023	False
TVP23C	0.509762540876047	0.002135413672093	0.140265812004892	GSE243023	False
ASF1B	-0.718079565945236	0.0021426390510606	0.140265812004892	GSE243023	False
KIF21B	-0.989553068858447	0.0021478160706203	0.140265812004892	GSE243023	False
GSK3B	0.578095460366374	0.0021601056789683	0.140265812004892	GSE243023	False
RAB23	0.75395336516677	0.0021647588241363	0.140265812004892	GSE243023	False
TUBA4A	-0.82301879918348	0.0022675991826633	0.146216116229692	GSE243023	False
RAB5C	-0.861243276704627	0.0023168610303146	0.147636043465557	GSE243023	False
RAB3IL1	-1.41965922692337	0.0023255190878911	0.147636043465557	GSE243023	False
AAMP	-0.583076720765277	0.0023945813352856	0.147636043465557	GSE243023	False
TRPC1	1.01603590265619	0.0024101594926358	0.147636043465557	GSE243023	False
SEC24A	0.776303429781434	0.0024115930745763	0.147636043465557	GSE243023	False
DNAL4	-0.658016399694611	0.0024130884606241	0.147636043465557	GSE243023	False
CIRBP	-0.685779663137687	0.0024182076367744	0.147636043465557	GSE243023	False
EIF2D	-0.522601143423437	0.002432497507046	0.147636043465557	GSE243023	False
PLTP	-1.02229723709011	0.0024558030321843	0.147636043465557	GSE243023	False
RSPO3	0.992660468441634	0.0024718088323265	0.147636043465557	GSE243023	False
SSBP3	-0.663050926025233	0.0024742114044691	0.147636043465557	GSE243023	False
ITPR3	-0.711733849194967	0.0025026915171663	0.147636043465557	GSE243023	False
SPRTN	0.77494344003091	0.0025112080510426	0.147636043465557	GSE243023	False
DLL1	-1.4792010905053	0.0025206801872798	0.147636043465557	GSE243023	False
APOB	1.42288498741521	0.0025317805128334	0.147636043465557	GSE243023	False
LRATD2	0.962679357491989	0.0025320111424107	0.147636043465557	GSE243023	False
ESPL1	-0.834951085427656	0.0025493378186998	0.147636043465557	GSE243023	False
SLC22A4	0.881581459839234	0.0025585798233749	0.147636043465557	GSE243023	False
SPIRE1	0.565838148322214	0.0025858073835571	0.147636043465557	GSE243023	False
C21orf91	0.745999923482544	0.0025924904194943	0.147636043465557	GSE243023	False
FAM210A	0.81156427803106	0.0026006560770543	0.147636043465557	GSE243023	False
KATNAL1	0.63070902665537	0.0026036474490206	0.147636043465557	GSE243023	False
VARS1	-0.567396456538575	0.0026043642529193	0.147636043465557	GSE243023	False
PLEKHG4	-0.709565699585427	0.0026158288873365	0.147636043465557	GSE243023	False
EIF3D	-0.545947465296713	0.0026198828159682	0.147636043465557	GSE243023	False
LAS1L	-0.672726669317667	0.0026301579933285	0.147636043465557	GSE243023	False
PLGLB1	1.24052115321316	0.0026394628990079	0.147636043465557	GSE243023	False
