gene_symbol	strict_lodo_FDR_candidate	meta_FDR	GSE243023_logFC	GSE205050_logFC	GSE10723_logFC
UBE2J1	True	0.0022337267281796	0.424699753298047	0.162841379349953	0.207859422
ABI3	True	0.0022959233233432	-0.925632200186552	-0.284854139868983	-0.285901217
KHDRBS3	True	0.0023149791937151	0.379356269691274	0.267921754102267	0.51669413375
CARS2	True	0.0024268172507982	-0.445952020335323	-0.290026657329704	-0.4815612395
MACF1	True	0.002538702748608	0.441259306640083	0.116622092721876	0.42187192525
DCTN1	True	0.0025504828190391	-0.72577688609032	-0.0793633108768104	-0.32858321975
MDH2	True	0.0025560722569009	-0.487679768975056	-0.170504159571099	-0.43607641975
DCAF7	True	0.0025722760471315	-0.153157322486869	-0.254498848369615	-0.367597236
CRIM1	True	0.0026988687562946	0.660304370175474	0.146335623265239	0.29259856475
OPN3	True	0.0028080926006963	0.547541755956546	0.349361256951113	0.23843918775
TSR2	True	0.002822648730859	-0.440400246366495	-0.199589583484904	-0.269357738
GCLC	True	0.002836094733512	0.4332881314378	0.267496947283514	0.30150714775
TUFT1	True	0.0030960432888896	0.526981585254231	0.454064098670013	0.17822331125
BTBD3	True	0.0032145072370486	0.63135076046961	0.132728439284023	0.3239029015
SCARA3	True	0.0032546569282109	-1.21732731163132	-0.202500011571391	-0.16577305475
MRPS5	True	0.003395393380544	-0.395795474377346	-0.277405279336237	-0.3342090125
SARS2	True	0.0034154840351758	-0.545840557032107	-1.00865205070967	-0.331421031
OGDH	True	0.0034522342047072	-0.521009603026551	-0.204853686290102	-0.28137990575
TMEM9B	True	0.0036233316899616	0.429337190993548	0.208422204022127	0.28974821525
CELF2	True	0.0036889756713908	0.43762031950274	0.248822468406162	0.29281751675
STX12	True	0.0036889756713908	0.524944383700494	0.118139332553052	0.292185734
AP1B1	True	0.0041092666612739	-0.746906708592295	-0.0982844860401295	-0.2825362575
FAH	True	0.0041744738750231	-0.648395687023557	-0.645977702881142	-0.26690080375
UBR2	True	0.0042777760155132	0.417394295119758	1.29290783202665	0.26058203725
TLR4	True	0.004553858495257	0.508385162765542	0.409246478628011	0.37633161625
FSD1	True	0.0049802285727782	-0.579050364007453	-0.335381583702371	-0.2715573045
RPL19	True	0.0052496072405069	-0.363111882730964	-0.0934911366283551	-0.460486582000001
ILKAP	True	0.0053343983339752	-0.340388676137358	-0.216811412630258	-0.26823834975
IMPDH2	True	0.0059551449746538	-0.527216096198836	-0.155645288455679	-0.301250278
JKAMP	True	0.0059551449746538	0.477027486758626	0.158856951076972	0.2632612315
DNAJC10	True	0.00669885822366	0.42732368209296	0.195853051080768	0.35870396525
BIN1	True	0.0067170745858625	-0.640557460663306	-0.284023505972647	-0.251931478
CLNS1A	True	0.0074533206829077	-0.36840415466466	-0.13552374802557	-0.276828331
MYBL2	False	2.0227954521622348e-05	-1.0694785761032	-1.46569487918836	-0.1738077605
TKT	False	2.4374765901618474e-05	-0.887381562562279	-0.683739164088749	-0.0913046147500003
AURKB	False	4.252689931321304e-05	-0.767576335050799	-1.58202636999176	-0.13764181475
DKK1	False	4.750531230543694e-05	0.710605061529453	0.112483942283914	1.6723210625
YTHDF2	False	5.249327806055033e-05	0.4004137396531	0.0322839544735984	1.2144226345
HSP90B1	False	6.21961532507898e-05	0.0626051159435015	0.109796001574091	1.938216074
PLK2	False	6.21961532507898e-05	0.0849527176895597	0.375415758379036	1.1951228295
SHCBP1	False	8.200554574937569e-05	-0.139583820015184	-1.33776939052873	-0.58802866725
GINS1	False	9.645380225722252e-05	-0.336440346350146	-1.35264820359835	-0.507497542
PPIH	False	0.0001017967817864	-0.473595385300767	-0.697853932413008	-0.16261517925
ILF3	False	0.0001074702428502	-0.256448383059199	-0.42790904314846	-0.2228879425
FBXL5	False	0.0001335562692602	0.420090977644743	0.031236860969309	1.26731521025
SDCBP	False	0.0001335562692602	0.653815613597584	0.105197811361812	0.88840272825
SLX1B	False	0.0001439598456114	-2.12738423144596	-0.326881325293281	-1.303659653
PRR11	False	0.0001505059696412	-0.286770421389931	-1.32763342205424	-0.269947512
DNMT1	False	0.0001638101514254	-0.386067338283906	-0.885986151892801	-0.166383985
PTTG1	False	0.0001744570042346	-0.428659171899707	-1.29500578090795	-0.18836288725
HMGN2	False	0.0001759476549696	-0.0638196025590148	-0.746037253884047	-0.4741006585
ITGB1	False	0.0001795325541261	0.188218128250632	0.336415346975576	0.657482296124999
ZFAND5	False	0.0001908756411132	0.316955554841853	0.133807406370327	0.77315885075
CDK17	False	0.0002017068365398	0.5657624986589	0.0686000835282883	0.91561063825
FAM124B	False	0.000205144778512	0.073676790784063	0.441187949822586	1.00542230025
FBL	False	0.000205144778512	-0.323691168450043	-0.566768905162222	-0.4094179635
PRC1	False	0.000205144778512	-0.361354350057892	-1.43356539482424	-0.0434001862500002
USP38	False	0.000205144778512	0.593727815457673	0.125426172253065	0.84534828275
SMPD4	False	0.0002104656350023	-0.226599254352349	-0.481708753929092	-0.3635973005
TTF2	False	0.0002108812586934	-0.0523281584069908	-0.781291311592153	-0.702429285000001
TMEM47	False	0.0002410659174445	0.736634720452579	0.0540322793885695	1.042179526
TUBA1B	False	0.0002410659174445	-0.526191690955564	-1.01288527645986	-0.0540372259999993
PLAUR	False	0.0002551265745688	-0.61350567300119	-0.262758109237327	-0.692963856
SEC24B	False	0.0002930442101947	0.530611350048774	0.118198433623289	0.74599452225
PAPOLA	False	0.0003021168363042	0.329383259070926	0.175958042983972	1.07807322225
CYTH3	False	0.0003021850293646	0.193069588959367	0.501054739189867	0.34434117175
ZSCAN31	False	0.0003097090320157	0.219424387715204	0.326803394824957	1.31801477275
PGM2L1	False	0.0003140830712884	0.407921524586586	0.102888928469553	1.05011299475
ZFR	False	0.0003342308559732	0.487755907438001	0.10211224207893	0.8212426045
TYMS	False	0.0003423256849599	-0.272726415641362	-1.19986287946547	-0.077005524
